comp_ref,Compound,smiles,HOMO,HOMO_1,HOMO_2,HOMO_3,LUMO,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,deltaN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.0001,303,8,1,HCl,EIS,91.1
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,303,8,1,HCl,EIS,95.7
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,303,8,1,HCl,PDP,93.9
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,313,8,1,HCl,PDP,86
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,323,8,1,HCl,PDP,81
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,333,8,1,HCl,PDP,78
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,298,30,1,HCl,PDP,90.7
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,298,30,1,HCl,PDP,92.8
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,298,30,1,HCl,PDP,95.2
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,298,30,1,HCl,PDP,95.7
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,298,30,1,HCl,EIS,92.5
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,298,30,1,HCl,EIS,94.5
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,298,30,1,HCl,EIS,96
